headings,label
"കൊച്ചി ചെരുപ്പ് വിതരണ കേന്ദ്രത്തിലെ തീപിടിത്തം; അന്വേഷണം തുടങ്ങി, അട്ടിമറി സാധ്യതയും പരിശോധിക്കുന്നു",business
ഈ​​​സ്റ്റേ​​​ണ്‍ ക​​​റി പൗ​​​ഡ​​​റി​​​ന് പു​​​ര​​​സ്കാ​​​രം; സം​​​സ്ഥാ​​​ന മ​​​ലി​​​നീ​​​ക​​​ര​​​ണ നി​​​യ​​​ന്ത്ര​​​ണ ബോ​​​ര്‍​​​ഡി​​​ന്‍റെ അവാര്‍ഡ് പ​​​രി​​​സ്ഥി​​​തി സൗ​​​ഹൃ​​​ദ പ്ര​​​വ​​​ര്‍​​​ത്ത​​​ന​​​രീ​​​തി​​​കള്‍ നടപ്പാക്കിയതിനുള്ള അംഗീകാരമായി,business
ശ്രീശാന്തിന്റെ ആജീവനാന്ത വിലക്ക് പിന്‍വലിച്ചു,sports
റയല്‍ മാഡ്രിഡിനെ ഞെട്ടിച്ച യുവതാരം ബ്രസീല്‍ ടീമില്‍,sports
"എനിക്ക് ശ്രീനിവാസന്‍ ആകേണ്ട, ലോഹിതദാസ് മതി : കാരണം തുറന്നു പറഞ്ഞു ശ്യാം പുഷ്കരന്‍",entertainment
"മുല്ലപ്പൂ വിപ്ലവം ഇന്നു മുതല്‍, തിയറ്റര്‍ ലിസ്റ്റ്",entertainment
'അനാന്‍' ചിത്രത്തിന്‍റെ പുതിയ പോസ്റ്റര്‍ പുറത്തുവിട്ടു,entertainment
മുകേഷ് അംബാനി കുതിക്കുന്നു,business
കിസാന്‍ സമ്മാന്‍ നിധിക്കായി സംസ്ഥാനത്തെ കൃഷിഭവനുകളില്‍ അപേക്ഷകരുടെ വന്‍ തിരക്ക്‌,business
"
ഒടുവില്‍ ടി വി ചന്ദ്രന്‍ അയ്യപ്പനോടുള്ള വാക്ക് പാലിച്ചു
                                            
",entertainment
'സെലിബ്രിറ്റികള്‍ക്കും താരങ്ങള്‍ക്കും യാതൊരു വികാരങ്ങളുമില്ല.. എന്ത് കേട്ടാലും അതങ്ങ് ഉള്‍ക്കൊള്ളണം'; കരീന കപൂര്‍,entertainment
ഐപിഎല്‍ 2019: ആരാവും പ്ലെയര്‍ ഓഫ് ദി ടൂര്‍ണമെന്റ്? അതൊരു മലയാളി താരം!! വോണിന്റെ പ്രവചനം,sports
സംസ്ഥാനത്ത് സ്വര്‍ണ വില കുറഞ്ഞു,business
ഐ എസ്‌ എല്‍ ആദ്യ സെമിയില്‍ നോര്‍ത്ത്‌ ഈസ്റ്റ്‌ ഇന്നലെ ബാംഗളൂര്‍ എഫ്‌ സിയെ പരാജയപ്പെടുത്തി,sports
"ശ്രീശാന്തിന്റെ ആജീവനാന്ത വിലക്ക് പിന്‍വലിച്ചു, ബിസിസിഐയോട് ശിക്ഷ കാലയളവ് പുനഃപരിശോധിക്കുവാന്‍ സുപ്രീം കോടതി",sports
തോളിനേറ്റ പരിക്ക്; കെയ്‌ന്‍ വില്യംസണെ സ്‌കാനിംഗിന് വിധേയമാക്കി,sports
തമ്മിലിടഞ്ഞ് റാമോസും പെരസും; പ്രശ്നങ്ങളൊഴിയാതെ റയല്‍,sports
ഡ്രീം ഡെലിവറിയുമായി ജഡേജ; ഫിഞ്ചിന്റെ വിക്കറ്റ് പിഴുത തകര്‍പ്പന്‍ പന്ത്,sports
റെഡ്മി നോട്ട് 7 ഫോണുകളുടെ രണ്ടാം ഘട്ട വില്‍പ്പന മാര്‍ച്ച്‌ 13 ന്,business
സ്വര്‍ണ്ണ വില കുറഞ്ഞു,business
ജൂലായ് കാട്രില്‍ ഇന്ന് പ്രദര്‍ശനത്തിന് എത്തും,entertainment
ഇന്ത്യയുടെ ഏറ്റവും മികച്ച ഓപ്പണിങ് കൂട്ടുക്കെട്ട് സ്വന്തമാക്കി രോഹിത് ശര്‍മ- ശിഖര്‍ ധവാന്‍ സഖ്യം,sports
പാര്‍വ്വതിയുടെ ഗംഭീര തിരിച്ച്‌ വരവ്! സിദ്ധാര്‍ത്ഥ് ശിവയുടെ ചിത്രം മിന്നിക്കും! ചിത്രങ്ങള്‍ പുറത്ത്!!,entertainment
ദുല്‍ഖര്‍ ചിത്രം 'ഒരു യമണ്ടന്‍ പ്രേമകഥ' യുടെ ചിത്രീകരണം അവസാനിച്ചു,entertainment
ഗോളും അസിസ്റ്റുമായി മെസ്സി ; പിന്നില്‍ നിന്നും തിരിച്ചടിച്ച്‌ ബാഴ്സലോണ.,sports
നേട്ടങ്ങള്‍ തുടര്‍ക്കഥയാക്കി മുകേഷ് അംബാനിയുടെ ജിയോ: പിന്നിലായി വമ്ബന്മാര്‍,business
"
ലൂയിസ് വാന്‍ഹാല്‍ ഫുട്‌ബോളിനോട് വിട പറഞ്ഞു
                                            
",sports
ലൂസിഫര്‍ ചിത്രത്തിലെ ഇന്ദ്രജിത്തിന്റെ ക്യാരക്ടര്‍ പോസ്റ്റര്‍ പുറത്തുവിട്ടു,entertainment
പാകിസ്താനെ കാത്തിരിക്കുന്നത് വന്‍ തിരിച്ചടി; നദികളില്‍ നിന്നുള്ള വെള്ളം ഇന്ത്യ അണക്കെട്ട് ക,business
സൈനിക തൊപ്പി ധരിച്ചത് ഐസിസി അനുമതിയോടെ ; പാകിസ്ഥാന്റെ ആവശ്യം നടക്കില്ല,sports
തോല്‍വിയില്‍ പാഠം പഠിച്ചു; ടീം ഇന്ത്യയില്‍ വമ്ബന്‍ അഴിച്ചുപണി; ഗംഭീര തുടക്കം,sports
"ആദ്യ രണ്ട് ദിവസം കളി നടന്നില്ല, എന്നിട്ടും ഇന്നിംഗ്സ് ജയവുമായി ന്യൂസിലാണ്ട്",sports
"
സന്തോഷ് ട്രോഫി ഫൈനല്‍ റൗണ്ട് മത്സരങ്ങളുടെ തീയതി പ്രഖ്യാപിച്ചു
                                            
",sports
"സ്റ്റേഡിയം കൈവിട്ട് പോകുന്നു, കളിക്കാന്‍ സ്ഥലമില്ലാതെ ബെംഗളൂരു എഫ് സി",sports
എല്‍ഐസിയുടെ പുതിയ മൈക്രോ ബചത് പദ്ധതിയെ കുറിച്ചറിയൂ.,business
ഭുവി ഐപിഎല്ലില്‍ നിന്നും വിട്ടുനില്‍ക്കും? പേസറുടെ തന്ത്രങ്ങള്‍ ഇങ്ങനെ,sports
'മേരാ നാം ഷാജി' ; ആദ്യ ഗാനം 15 ന്,entertainment
ചെന്നൈ സിറ്റിക്ക് ഐ- ലീഗ് കിരീടം: തമിഴ് നാട്ടിലേക്ക് ആദ്യ ദേശീയ ലീഗ് കിരീടം,sports
'ഇളയരാജ'യുടെ ട്രെയിലര്‍ പുറത്ത്,entertainment
കല്യാണി പ്രിയദര്‍ശന്‍ നായികയാകുന്ന ചിത്രലഹരിയുടെ ടീസര്‍ എത്തി,entertainment
മുന്നറ്റം തകര്‍ന്ന് ഇന്ത്യ: പ്രതീക്ഷ ധോണി-കോഹ്ലി മാജിക്കില്‍,sports
'ആ ഹിറ്റ് ചിത്രത്തിലെ മൂന്ന് നായകന്മാരില്‍ ഒരാള്‍ ഞാനായിരുന്നു; പക്ഷേ അവസാനം എന്നെ ഒഴിവാക്കി'; ആസിഫ് അലി,entertainment
ഒ​ല​യി​ല്‍ നി​ക്ഷേ​പി​ക്കാ​ന്‍ ഹ്യൂ​ണ്ടാ​യി,business
ധോണിയെ ഒഴിവാക്കി;  ഋഷഭ് പന്ത് ടീമില്‍,sports
അഫ്ഗാനെ വീഴ്ത്തി; ഒപ്പം പിടിച്ച്‌ അയര്‍ലന്‍ഡ്,sports
'മധുരരാജാ'യുടെ പുതിയ ക്യാരക്ടര്‍ പോസ്റ്റര്‍ പുറത്തുവിട്ടു,entertainment
നെയ്മറിന് പണി കിട്ടിയേക്കും; അന്വേഷണം പ്രഖ്യാപിച്ച്‌ യുവേഫ,sports
"സ്വര്‍ണവില  ഗ്രാമിന് 2,980 രൂപ;  പവന് 80 രൂപ വര്‍ദ്ധിച്ചു",business
ഹോട്ട് ലുക്കില്‍ അതീവ ഗ്ലാമസറായി പ്രിയവാര്യര്‍... ചിത്രങ്ങള്‍ ഏറ്റെടുത്ത് സോഷ്യല്‍ മീഡിയ...,entertainment
ദി ലീസ്റ് ഓഫ് ദീസ്: പുതിയ പോസ്റ്റര്‍ റിലീസ് ചെയ്തു,entertainment
"
മാനം കപ്പലേറി
                                            
",sports
തന്‍റെ ഇഷ്ട ക്രിക്കറ്റ് താരം ആര്? തുറന്നു പറഞ്ഞ് സണ്ണി ലിയോണ്‍!!,entertainment
ബ്രസീലിയന്‍ താരം പെരേരയുടെ കരാര്‍ നീട്ടി മാഞ്ചസ്റ്റര്‍ യുണൈറ്റഡ്,sports
